,排名,电影中文名,电影外文名,电影别名,导演,演员,年份,地区,类别,评分,评分人数,电影概况
181,182,达拉斯买家俱乐部,Dallas Buyers Club,续命枭雄(港)  /  药命俱乐部(台), 让-马克·瓦雷 Jean-Marc Vallée, 马修·麦康纳 Matthew McCon...,2013,美国,剧情 传记 同性,8.7,175426人评价,Jared Leto的腿比女人还美！
182,183,血战钢锯岭,Hacksaw Ridge,钢锯岭  /  钢铁英雄(台), 梅尔·吉布森 Mel Gibson, 安德鲁·加菲尔德 Andrew Garfield /...,2016,美国 澳大利亚,剧情 传记 历史 战争,8.7,330686人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
183,184,被解救的姜戈,Django Unchained,被解放的姜戈  /  决杀令(台), 昆汀·塔伦蒂诺 Quentin Tarantino, 杰米·福克斯 Jamie Foxx /...,2012,美国,剧情 动作 西部 冒险,8.6,269064人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
184,185,阿飞正传,阿飛正傳,Days of Being Wild, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990,香港,犯罪 剧情 爱情,8.5,190463人评价,王家卫是一种风格，张国荣是一个代表。
185,186,牯岭街少年杀人事件,牯嶺街少年殺人事件,A Brighter Summer Day, 杨德昌 Edward Yang, 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,台湾,剧情 犯罪,8.7,111286人评价,弱者送给弱者的一刀。
186,187,谍影重重,The Bourne Identity,叛谍追击(港)  /  神鬼认证(台), 道格·里曼 Doug Liman, 马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作 悬疑 惊悚,8.5,198952人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
187,188,谍影重重2,The Bourne Supremacy,叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台), 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚,8.5,165225人评价,谁说王家卫镜头很晃？
188,189,魔女宅急便,魔女の宅急便,魔女琪琪(台)  /  小魔女限时专送, 宫崎骏 Hayao Miyazaki, 高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 奇幻 冒险,8.5,202853人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
189,190,碧海蓝天,Le grand bleu,碧海情深  /  夜海倾情, Luc Besson, 让-马克·巴尔 Jean-Marc Barr / 让·雷诺 Jean Re...,1988,法国 美国 意大利,剧情 爱情,8.7,110115人评价,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
190,191,惊魂记,Psycho,精神病患者  /  触目惊心, Alfred Hitchcock, Janet Leigh / Anthony Perkins / Vera Miles,1960,美国,悬疑 惊悚 恐怖,8.9,86548人评价,故事的反转与反转，分裂电影的始祖。
191,192,忠犬八公物语,ハチ公物語,八千公物语  /  阿八的故事, Seijirô Kôyama, 山本圭 Kei Yamamoto / 井川比佐志 Hisa...,1987,日本,剧情,9.0,62684人评价,养狗三日，便会对你终其一生。
192,193,头脑特工队,Inside Out,玩转脑朋友(港)  /  脑筋急转弯(台), 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,NaN,2015,美国,喜剧 动画 冒险,8.7,237709人评价,愿我们都不用长大，每一座城堡都能永远存在。
193,194,再次出发之纽约遇见你,Begin Again,再次出发  /  歌曲改变人生, 约翰·卡尼 John Carney, 凯拉·奈特莉 Keira Knightley / 马克...,2013,美国,喜剧 爱情 音乐,8.5,177399人评价,爱我就给我看你的播放列表。
194,195,房间,Room,不存在的房间(台)  /  抖室(港), 伦尼·阿伯拉罕森 Lenny Abrahamson, 布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,162353人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
195,196,青蛇,Green Snake,, 徐克 Hark Tsui, 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,香港,剧情 奇幻 古装,8.4,229737人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
196,197,秒速5厘米,秒速5センチメートル,秒速五厘米  /  秒速5公分, 新海诚 Makoto Shinkai, 水桥研二 Kenji Mizuhashi / 近藤好美 ...,2007,日本,动画 剧情 爱情,8.3,309854人评价,青春就是放弃和怀念。
197,198,哪吒闹海,,Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai, 严定宪 Dingxian Yan / 王树忱 Shuchen Wang, 梁正晖 Zhenghui ...,1979,中国大陆,冒险 动画 奇幻,8.9,83778人评价,想你时你在闹海。
198,199,海盗电台,The Boat That Rocked,出位乐人谷(港)  /  海盗电波, 理查德·柯蒂斯 Richard Curtis, 比尔·奈伊 Bill Nighy / 肯尼...,2009,英国 德国 法国,剧情 喜剧 音乐,8.6,169044人评价,生命不止，摇滚不死。
199,200,东京物语,東京物語,东京故事  /  Tokyo Story, 小津安二郎 Yasujirô Ozu, 笠智众 Chishû Ryû / 原节...,1953,日本,剧情 家庭,9.2,52682人评价,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
200,201,末路狂花,Thelma & Louise,塞尔玛与路易丝  /  末路狂花, 雷德利·斯科特 Ridley Scott, 吉娜·戴维斯 Geena Davis / 苏...,1991,美国 法国,犯罪 剧情 惊悚,8.7,108461人评价,没有了退路，只好飞向自由。
201,202,绿里奇迹,The Green Mile,绿色奇迹(台)  /  绿色英里, Frank Darabont, 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...,1999,美国,犯罪 剧情 奇幻 悬疑,8.7,110193人评价,天使暂时离开。
202,203,终结者2：审判日,Terminator 2: Judgment Day,终结者2  /  终结者2：末日审判, 詹姆斯·卡梅隆 James Cameron, 阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻,8.6,145873人评价,少见的超越首部的续集，动作片中的经典。
203,204,源代码,Source Code,启动原始码(台)  /  危机解密(港), 邓肯·琼斯 Duncan Jones, 杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国 加拿大,科幻 悬疑 惊悚,8.3,421258人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
204,205,勇闯夺命岛,The Rock,石破天惊  /  绝地任务, 迈克尔·贝 Michael Bay, 肖恩·康纳利 Sean Connery / 尼古拉...,1996,美国,动作 冒险,8.5,146142人评价,类型片的极致。
205,206,模仿游戏,The Imitation Game,解码游戏(港)  /  模拟游戏, 莫腾·泰杜姆 Morten Tyldum, 本尼迪克特·康伯巴奇 Benedict C...,2014,英国 美国,剧情 传记 战争 同性,8.5,264815人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
206,207,新龙门客栈,新龍門客棧,New Dragon Gate Inn, 李惠民 Raymond Lee, 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,香港 中国大陆,剧情 动作 武侠 古装,8.5,190412人评价,嬉笑怒骂，调风动月。
207,208,这个男人来自地球,The Man from Earth,地球不死人(港)  /  这个人来自洞穴, 理查德·沙因克曼 Richard Schenkman, 大卫·李·史密斯 David ...,2007,美国,剧情 科幻,8.5,188005人评价,科幻真正的魅力不是视觉效果能取代的。
208,209,黑客帝国3：矩阵革命,The Matrix Revolutions,骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪, Andy Wachowski / Larry Wachowski, Keanu Reeves / Laurence F...,2003,美国 澳大利亚,动作 科幻,8.5,161403人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
209,210,卡萨布兰卡,Casablanca,北非谍影(港)  /  卡萨布兰卡, Michael Curtiz, 亨弗莱·鲍嘉 Humphrey Bogart / 英格丽·褒曼...,1942,美国,剧情 爱情 战争,8.6,128465人评价,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
210,211,城市之光,City Lights,City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt, Charles Chaplin, 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,美国,喜剧 剧情 爱情,9.2,45878人评价,永远的小人物，伟大的卓别林。
211,212,变脸,Face/Off,夺面双雄, 吴宇森 John Woo, 约翰·特拉沃尔塔 John Travolta / 尼古拉斯...,1997,美国,动作 科幻 犯罪 惊悚,8.4,220405人评价,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
212,213,一个叫欧维的男人决定去死,En man som heter Ove,明天别再来敲门(台)  /  想死冇咁易(港), 汉内斯·赫尔姆 Hannes Holm, 罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,剧情,8.7,123644人评价,惠及一生的美丽。
213,214,荒野生存,Into the Wild,浪荡天涯(港)  /  阿拉斯加之死(台), 西恩·潘 Sean Penn, 埃米尔·赫斯基 Emile Hirsch / 马西娅·...,2007,美国,冒险 传记 剧情,8.6,131289人评价,出门必备：本草纲目。
214,215,迁徙的鸟,Le peuple migrateur,鸟的迁徙  /  鸟与梦飞行, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,...,2001,法国 德国 意大利 西班牙 瑞士,纪录片,9.1,52835人评价,最美的飞翔。
215,216,E.T. 外星人,E.T.: The Extra-Terrestrial,外星人E.T.  /  外星人, Steven Spielberg, Henry Thomas / Dee Wallace / Robert MacNa...,1982,美国,剧情 科幻,8.5,157948人评价,生病的E.T.皮肤的颜色就像柿子饼。
216,217,无耻混蛋,Inglourious Basterds,恶棍特工(台)  /  希魔撞正杀人狂(港), Quentin Tarantino, 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,2009,美国 德国,剧情 犯罪,8.4,229885人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
217,218,发条橙,A Clockwork Orange,发条桔子  /  发条橙子, Stanley Kubrick, Malcolm McDowell / Patrick Magee / Michael...,1971,英国 美国,犯罪 剧情 科幻,8.4,190957人评价,我完全康复了。
218,219,初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,初恋那件小事(港)  /  暗恋那点小事, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,NaN,2010,泰国,剧情 喜剧 爱情,8.3,476322人评价,黑小鸭速效美白记。
219,220,美国丽人,American Beauty,美丽有罪(港)  /  美国心·玫瑰情(台), 萨姆·门德斯 Sam Mendes, 凯文·史派西 Kevin Spacey / 安妮特...,1999,美国,剧情 爱情 家庭,8.4,190792人评价,每个人的内心都是深不可测的大海。
220,221,黄金三镖客,"Il buono, il brutto, il cattivo.",好·坏·丑  /  独行侠决斗地狱门(港), Sergio Leone, Clint Eastwood / Eli Wallach / Lee Van Cleef,1966,意大利 西班牙 西德,冒险 西部,9.1,52916人评价,最棒的西部片。
221,222,你的名字。,君の名は。,你的名字  /  君之名, 新海诚 Makoto Shinkai, 神木隆之介 Ryûnosuke Kamiki / 上...,2016,日本,剧情 爱情 动画,8.4,487539人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
222,223,英国病人,The English Patient,英伦情人(台)  /  别问我是谁(港), 安东尼·明格拉 Anthony Minghella, 拉尔夫·费因斯 Ralph Fien...,1996,美国 英国,爱情 剧情 战争,8.4,177724人评价,"In memory, love lives forever..."
223,224,燕尾蝶,スワロウテイル,Swallowtail Butterfly  /  Suwarôteiru, 岩井俊二 Shunji Iwai, 恰拉 Chara / 伊藤步 Ayumi Ito / 三上...,1996,日本,犯罪 剧情,8.6,109824人评价,现实与童话交相辉映的旅程。
