,排名,电影中文名,电影外文名,电影别名,导演,演员,年份,地区,类别,评分,评分人数,电影概况
106,107,风之谷,風の谷のナウシカ,风谷少女  /  Kaze no tani no Naushika, 宫崎骏 Hayao Miyazaki, 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,科幻 动画 奇幻 冒险,8.8,187246人评价,动画片的圣经。
107,108,爱在日落黄昏时,Before Sunset,日落巴黎(港)  /  爱在日落巴黎时(台), 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,2004,美国,剧情 爱情,8.7,210799人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
108,109,侧耳倾听,耳をすませば,心之谷  /  梦幻街少女, 近藤喜文 Yoshifumi Kondo, 本名阳子 Youko Honna / 小林桂树 K...,1995,日本,剧情 爱情 动画 音乐,8.8,180250人评价,少女情怀总是诗。
109,110,倩女幽魂,,倩女幽魂(87版)  /  A Chinese Ghost Story, 程小东 Siu-Tung Ching, 张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,香港,剧情 爱情 武侠 古装,8.6,272147人评价,两张绝世的脸。
110,111,超脱,Detachment,人间师格(台), 托尼·凯耶 Tony Kaye, 艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情,8.8,183967人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
111,112,红辣椒,パプリカ,盗梦侦探  /  帕布莉卡, 今敏 Satoshi Kon, 林原惠美 Megumi Hayashibara / 古谷彻 T...,2006,日本,动画 悬疑 科幻 惊悚,8.9,144773人评价,梦的勾结。
112,113,恐怖直播,더 테러 라이브,死亡“动”新闻(港)  /  恐怖攻击直播(台), 金秉祐 Byeong-woo Kim, 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情 犯罪 悬疑,8.7,238898人评价,恐怖分子的“秋菊打官司”。
113,114,萤火虫之墓,火垂るの墓,再见萤火虫(港)  /  萤火挽歌, 高畑勋 Isao Takahata, 辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画 剧情 战争,8.7,215258人评价,幸福是生生不息，却难以触及的远。
114,115,驯龙高手,How to Train Your Dragon,驯龙记(港), 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,2010,美国,喜剧 动画 奇幻 冒险 家庭,8.7,302540人评价,和谐的生活离不开摸头与被摸头。
115,116,幸福终点站,The Terminal,机场客运站(港)  /  航站情缘(台), 史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧 剧情 爱情,8.6,237306人评价,有时候幸福需要等一等。
116,117,菊次郎的夏天,菊次郎の夏,Kikujirô no natsu  /  菊次郎的夏天, 北野武 Takeshi Kitano, 北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,剧情 喜剧,8.7,193722人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
117,118,岁月神偷,歲月神偷,1969太空漫游  /  Echoes Of The Rainbow, 罗启锐 Alex Law, 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,香港 中国大陆,剧情 家庭,8.6,321417人评价,岁月流逝，来日可追。
118,119,小森林 夏秋篇,リトル・フォレスト 夏・秋,小森食光 / 夏秋篇(台), 森淳一 Junichi Mori, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,剧情,8.9,141616人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
119,120,喜剧之王,喜劇之王,King of Comedy, 周星驰 Stephen Chow / 李力持 Lik-Chi Lee, 周星驰 Stephen Ch...,1999,香港,喜剧 剧情 爱情,8.5,337535人评价,我是一个演员。
120,121,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港), 米林宏昌 Hiromasa Yonebayashi, 志田未来 Mirai Shida / 神木...,2010,日本,动画 奇幻 冒险,8.7,230144人评价,曾经的那段美好会沉淀为一辈子的记忆。
121,122,神偷奶爸,Despicable Me,卑鄙的我  /  坏蛋奖门人(港), 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud, ...,2010,美国 法国,喜剧 动画 冒险,8.5,401764人评价,Mr. I Don't Care其实也有Care的时候。
122,123,七武士,七人の侍,七侠四义(港)  /  The Seven Samurai, 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune / 志村乔 ...,1954,日本,动作 冒险 剧情,9.2,81491人评价,时代悲歌。
123,124,杀人回忆,살인의 추억,谋杀回忆  /  杀手回忆录, 奉俊昊 Joon-ho Bong, 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,犯罪 剧情 悬疑 惊悚,8.7,220826人评价,关于连环杀人悬案的集体回忆。
124,125,海洋,Océans,Oceans  /  海洋, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,...,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片,9.0,102234人评价,大海啊，不全是水。
125,126,真爱至上,Love Actually,爱是您，爱是我(台)  /  真的恋爱了(港), 理查德·柯蒂斯 Richard Curtis, 休·格兰特 Hugh Grant / 柯林...,2003,英国 美国 法国,喜剧 剧情 爱情,8.5,330278人评价,爱，是个动词。
126,127,电锯惊魂,Saw,夺魂锯(台)  /  恐惧斗室(港), 詹姆斯·温 James Wan, 雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑 惊悚 恐怖,8.7,209187人评价,真相就在眼前。
127,128,贫民窟的百万富翁,Slumdog Millionaire,贫民百万富翁(台)  /  一百万零一夜(港), 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan, 戴夫...,2008,英国 美国,剧情 爱情,8.5,412859人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
128,129,谍影重重3,The Bourne Ultimatum,叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台), 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon / ...,2007,美国 德国,动作 悬疑 惊悚,8.7,189910人评价,像吃了苏打饼一样干脆的电影。
129,130,喜宴,囍宴,The Wedding Banquet, 李安 Ang Lee, 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,1993,台湾 美国,剧情 喜剧 爱情 同性 家庭,8.8,148195人评价,中国家庭的喜怒哀乐忍。
130,131,雨人,Rain Man,手足情未了  /  手足情深, 巴瑞·莱文森 Barry Levinson, 达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情,8.6,219185人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
131,132,记忆碎片,Memento,失忆  /  记忆拼图(台), 克里斯托弗·诺兰 Christopher Nolan, 盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 剧情 悬疑 惊悚,8.5,293605人评价,一个针管引发的血案。
132,133,东邪西毒,東邪西毒,Ashes of Time, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 张曼玉 Maggie C...,1994,香港 台湾,剧情 动作 爱情 武侠 古装,8.6,264464人评价,电影诗。
133,134,怪兽电力公司,"Monsters, Inc.",怪兽公司(港)  /  怪物公司, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman, 约...,2001,美国,喜剧 动画 儿童 奇幻,8.6,255486人评价,不要给它起名字，起了名字就有感情了。
134,135,疯狂原始人,The Croods,古鲁家族(港 / 台), 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,NaN,2013,美国,喜剧 动画 冒险,8.7,388640人评价,老少皆宜，这就是好莱坞动画的魅力。
135,136,黑天鹅,Black Swan,夺命黑天鹅  /  霸王别鹅(豆友译名), 达伦·阿罗诺夫斯基 Darren Aronofsky, 娜塔莉·波特曼 Natalie...,2010,美国,剧情 惊悚,8.5,437344人评价,黑暗之美。
136,137,英雄本色,,A Better Tomorrow  /  Gangland Boss, 吴宇森 John Woo, 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,香港,动作 犯罪,8.7,177488人评价,英雄泪短，兄弟情长。
137,138,燃情岁月,Legends of the Fall,秋日传奇  /  真爱一世情(台), 爱德华·兹威克 Edward Zwick, 安东尼·霍普金斯 Anthony Hopki...,1994,美国,剧情 爱情 西部 家庭,8.7,153878人评价,传奇，不是每个人都可以拥有。
138,139,卢旺达饭店,Hotel Rwanda,卢安达饭店(台), 特瑞·乔治 Terry George, 唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 南非 意大利 美国,剧情 历史 战争,8.8,126126人评价,当这个世界闭上双眼，他却敞开了怀抱。
139,140,虎口脱险,La grande vadrouille,横冲直撞出重围(港)  /  大進擊(台), 杰拉尔·乌里 Gérard Oury, 路易·德·菲耐斯 Louis de Funès...,1966,法国 英国,喜剧 战争,8.9,111685人评价,永远看不腻的喜剧。
140,141,恋恋笔记本,The Notebook,深情日记  /  写我情真, 尼克·卡索维茨 Nick Cassavetes, 瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情 爱情,8.5,298035人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
141,142,傲慢与偏见,Pride & Prejudice,傲慢与偏见2005  /  Pride And Prejudice, 乔·怀特 Joe Wright, 凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,剧情 爱情,8.4,318450人评价,爱是摈弃傲慢与偏见之后的曙光。
142,143,7号房的礼物,7번방의 선물,戆爸的礼物(港)  /  7号囚房的礼物, 李焕庆 Hwan-kyeong Lee, 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情 喜剧 家庭,8.7,186999人评价,《我是山姆》的《美丽人生》。
143,144,海边的曼彻斯特,Manchester by the Sea,情系海边之城(港)  /  海曼, 肯尼斯·罗纳根 Kenneth Lonergan, 卡西·阿弗莱克 Casey Affle...,2016,美国,剧情 家庭,8.6,205248人评价,我们都有权利不与自己的过去和解。
144,145,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,哈利波特7：死神的圣物2(港 / 台), 大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,剧情 悬疑 奇幻 冒险,8.7,287761人评价,10年的完美句点。
145,146,萤火之森,蛍火の杜へ,萤火之社  /  Hotarubi no mori e, 大森贵弘 Takahiro Omori, 佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情 爱情 动画 奇幻,8.7,167379人评价,触不到的恋人。
146,147,小森林 冬春篇,リトル・フォレスト 冬・春,小森食光 / 冬春篇(台), 森淳一 Junichi Mori, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,日本,剧情,8.9,123408人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
